Time_ms;Victim_TEC;Attacker_TEC;Victim_State;Action;Bus_Status
893;53;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
894;53;0;ERROR_ACTIVE;IDLE;IDLE
895;53;0;ERROR_ACTIVE;IDLE;IDLE
896;53;0;ERROR_ACTIVE;IDLE;IDLE
897;53;0;ERROR_ACTIVE;IDLE;IDLE
898;53;0;ERROR_ACTIVE;IDLE;IDLE
899;53;0;ERROR_ACTIVE;IDLE;IDLE
900;52;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
901;52;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
902;52;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
903;52;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
904;52;0;ERROR_ACTIVE;IDLE;IDLE
905;52;0;ERROR_ACTIVE;IDLE;IDLE
906;52;0;ERROR_ACTIVE;IDLE;IDLE
907;52;0;ERROR_ACTIVE;IDLE;IDLE
908;52;0;ERROR_ACTIVE;IDLE;IDLE
909;52;0;ERROR_ACTIVE;IDLE;IDLE
910;51;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
911;51;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
912;51;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
913;51;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
914;51;0;ERROR_ACTIVE;IDLE;IDLE
915;51;0;ERROR_ACTIVE;IDLE;IDLE
916;51;0;ERROR_ACTIVE;IDLE;IDLE
917;51;0;ERROR_ACTIVE;IDLE;IDLE
918;51;0;ERROR_ACTIVE;IDLE;IDLE
919;51;0;ERROR_ACTIVE;IDLE;IDLE
920;59;8;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
921;58;8;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
922;58;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
923;58;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
924;58;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
925;58;5;ERROR_ACTIVE;IDLE;IDLE
926;58;5;ERROR_ACTIVE;IDLE;IDLE
927;58;5;ERROR_ACTIVE;IDLE;IDLE
